s,C,%,ug/m3,
Time,temp,humid,density_CO,
142 ,68.934100 ,4.905876 ,17.841328 ,
143 ,75.726753 ,3.412115 ,19.220273 ,
144 ,59.205913 ,6.588111 ,14.045931 ,
145 ,62.331240 ,5.631345 ,14.837399 ,
146 ,66.752070 ,5.041689 ,17.496632 ,
148 ,67.027797 ,4.757707 ,17.560198 ,
149 ,71.910555 ,3.928531 ,18.745061 ,
150 ,60.509633 ,6.329393 ,13.975432 ,
151 ,63.178199 ,5.637030 ,15.762741 ,
152 ,65.724234 ,4.978814 ,16.951554 ,
154 ,71.791367 ,4.155662 ,18.489703 ,
155 ,78.982143 ,3.165587 ,20.659254 ,
156 ,79.335402 ,3.368354 ,20.173514 ,
157 ,69.088206 ,4.490603 ,17.118817 ,
158 ,68.853414 ,4.508937 ,17.351186 ,
160 ,66.873214 ,4.916772 ,17.009871 ,
161 ,63.246009 ,5.867605 ,15.422908 ,
162 ,58.227690 ,7.921865 ,15.366299 ,
163 ,64.751484 ,5.471502 ,17.376626 ,
164 ,63.062908 ,5.435472 ,15.355356 ,
166 ,60.704580 ,6.145378 ,14.976624 ,
167 ,71.120515 ,4.089808 ,18.667817 ,
168 ,64.746572 ,5.408716 ,16.592859 ,
169 ,65.213890 ,5.114602 ,16.681992 ,
170 ,58.108657 ,6.933090 ,14.629735 ,
172 ,72.011320 ,3.915200 ,18.456307 ,
173 ,73.652763 ,3.721793 ,18.638911 ,
174 ,66.738134 ,4.774166 ,15.893661 ,
175 ,75.392709 ,3.592633 ,19.671793 ,
176 ,80.376817 ,3.153561 ,21.902835 ,
178 ,66.727991 ,4.909401 ,16.814123 ,
179 ,69.037377 ,4.669026 ,16.922572 ,
180 ,73.858493 ,3.907116 ,19.093301 ,
181 ,66.676843 ,5.197010 ,17.525072 ,
182 ,63.058346 ,5.850679 ,15.672612 ,
