time,temp,humid,gas,defuzz
614.000000,253.473520,3.106070,58.306716,80.270288
616.000000,210.370990,2.696739,52.325796,78.769334
617.000000,190.889560,2.632973,50.012284,77.512067
618.000000,208.480130,2.645269,50.743196,77.943214
619.000000,186.004880,2.460398,47.299208,78.941214
620.000000,226.178540,2.883169,55.109969,79.800001
622.000000,210.357060,2.658319,51.283578,78.242724
623.000000,239.673980,2.888177,54.529840,79.633579
624.000000,220.734620,2.800997,53.089145,79.108834
625.000000,222.877410,2.857221,53.959918,79.444721
626.000000,180.728940,2.390591,46.670249,79.207246
628.000000,213.091990,2.672169,51.321392,78.263025
629.000000,236.146760,2.943107,55.940350,79.992724
630.000000,184.272660,2.427527,46.883675,79.120160
631.000000,182.176320,2.405498,46.163695,79.400482
632.000000,211.731390,2.689858,52.232378,78.725029
634.000000,196.727390,2.420322,45.656273,79.574640
635.000000,197.755020,2.574206,50.341727,77.709986
636.000000,179.304300,2.454799,46.223621,79.378626
637.000000,185.524350,2.443745,47.024347,79.060958
638.000000,166.995370,2.273253,44.635145,79.864823
640.000000,140.941340,2.354624,38.764044,80.286277
641.000000,183.793310,2.387460,46.448955,79.294015
642.000000,199.319070,2.532173,48.820668,78.186285
643.000000,180.596830,2.359849,45.045794,79.757878
644.000000,183.004530,2.347952,44.730278,79.841213
646.000000,197.262650,2.503812,47.977410,78.623398
647.000000,171.511680,2.258463,43.382445,80.111094
648.000000,188.291490,2.479135,47.788121,78.715219
649.000000,195.765120,2.535342,47.887669,78.667225
650.000000,213.770830,2.753729,53.394924,79.233175
652.000000,153.164610,1.973803,36.303918,80.060525
653.000000,173.661650,2.355316,46.136159,79.410447
654.000000,202.325240,2.550690,48.088850,78.568229
655.000000,166.192700,2.614112,41.255691,80.285755
656.000000,187.192400,2.392764,45.492145,79.626743
658.000000,159.380680,2.132552,40.820300,80.293860
659.000000,222.409500,2.787753,53.305324,79.197450
660.000000,174.411010,2.184153,40.533309,80.296274
661.000000,211.719400,2.595245,49.429954,77.843751
662.000000,193.494490,2.479261,47.433702,78.880685
664.000000,198.328790,2.545112,48.769477,78.214100
665.000000,160.723800,2.208779,42.110265,80.246997
666.000000,202.569390,2.662096,51.995865,78.610232
667.000000,210.827220,2.694939,51.993350,78.608990
668.000000,197.886320,2.773874,49.908829,77.559928
670.000000,196.730620,2.415419,45.211996,79.710859
671.000000,200.950040,2.594083,49.129468,78.015335
672.000000,194.071230,2.473046,47.111989,79.023357
673.000000,235.139270,2.860188,53.594677,79.310690
674.000000,223.972810,2.722191,51.029958,78.104326
676.000000,220.676170,2.807273,53.971886,79.448948
677.000000,244.044840,2.924642,54.840606,79.725971
678.000000,215.240490,2.816242,53.511934,79.278943
679.000000,210.659570,2.658899,51.226480,78.211908
680.000000,254.488810,3.188213,60.716463,80.297275
682.000000,259.888880,3.338894,63.486441,80.297275
683.000000,248.350040,3.069014,57.880918,80.246412
684.000000,195.478700,2.485173,45.790752,79.530415
685.000000,250.456730,3.143749,58.355388,80.272428
686.000000,231.511980,2.879424,54.537639,79.635997
688.000000,221.905950,2.847637,53.773485,79.377564
689.000000,253.094970,3.268785,61.183657,80.297275
690.000000,231.900630,2.976802,57.714560,80.234339
691.000000,257.898980,3.118315,58.088650,80.259243
692.000000,272.741980,3.368250,61.390749,80.297275
694.000000,196.849170,2.761177,54.544286,79.638041
695.000000,267.840430,3.523238,67.131347,80.297275
696.000000,303.340950,4.012073,74.440887,80.297275
697.000000,252.984690,3.303708,63.890756,80.297275
698.000000,227.756680,3.128136,61.431538,80.297275
700.000000,261.478220,3.600545,70.541423,80.297275
701.000000,226.980660,2.971587,57.237559,80.190543
702.000000,207.183930,2.849883,56.766648,80.132682
703.000000,233.876880,3.206286,63.169768,80.297275
704.000000,248.026310,3.290200,63.830499,80.297275
706.000000,212.606910,3.004009,56.310028,80.061586
707.000000,235.625360,3.121490,60.384587,80.297275
708.000000,192.742100,2.675353,52.378941,78.794286
709.000000,274.474660,3.595072,66.936517,80.297275
710.000000,239.116840,3.235699,61.754302,80.297275
712.000000,255.830260,3.275201,62.271746,80.297275
713.000000,244.507590,3.244127,62.505028,80.297275
714.000000,207.202990,2.750407,53.979178,79.451519
715.000000,296.321260,4.183499,72.562468,80.297275
716.000000,306.977080,4.005329,70.567075,80.297275
718.000000,232.381670,3.064841,58.478697,80.277362
719.000000,260.320450,3.849261,71.897256,80.297275
720.000000,288.382820,3.768614,70.155806,80.297275
721.000000,282.145910,3.713105,69.435111,80.297275
722.000000,260.659130,3.382308,64.604290,80.297275
724.000000,253.665170,3.384896,64.228444,80.297275
725.000000,293.178840,3.856441,72.375347,80.297275
726.000000,276.456020,3.629162,68.538602,80.297275
727.000000,292.704300,3.802504,70.380302,80.297275
728.000000,313.052980,3.936261,71.370922,80.297275
730.000000,276.005520,3.581919,67.413902,80.297275
731.000000,322.280770,4.409469,80.610730,80.297275
732.000000,292.250300,3.931366,73.369792,80.297275
